split,difficulty_group_label,sex_label,images,percent
train,brak trudności,mężczyzna,722,31.21
train,brak trudności,kobieta,566,24.47
train,dysgrafia,mężczyzna,337,14.57
train,inne,kobieta,107,4.63
test,brak trudności,mężczyzna,82,3.55
val,brak trudności,kobieta,79,3.42
train,inne,mężczyzna,72,3.11
test,brak trudności,kobieta,70,3.03
val,brak trudności,mężczyzna,68,2.94
test,dysgrafia,mężczyzna,38,1.64
val,inne,mężczyzna,38,1.64
val,dysgrafia,mężczyzna,35,1.51
train,dysgrafia,kobieta,32,1.38
test,inne,kobieta,22,0.95
test,inne,mężczyzna,14,0.61
test,dysgrafia,kobieta,8,0.35
train,dysgrafia,unknown,8,0.35
val,inne,kobieta,8,0.35
test,brak trudności,unknown,7,0.3
